1608887415	Junior H	Extssy Model	Latin	2021	["latin"]
1683673809	Eden Muñoz & Junior H	Abcdario	Música Mexicana	2023	["latin"]
1608887189	Junior H & Luis R Conriquez	Los Botones Azules	Latin	2021	["latin"]
1530112944	Junior H	No Me Pesa	Latin	2020	["latin"]
1608887407	Junior H	Como Jordan	Latin	2021	["latin"]
1864976413	Junior H & Gael Valenzuela	MI GATA	Latin	2026	["latin"]
1876715327	Junior H & Gael Valenzuela	MI$ LLAMADA$	Latin	2026	["latin"]
1530113112	Junior H	Se Amerita	Latin	2020	["latin"]
1876715325	Junior H & Gael Valenzuela	ERRORE$	Latin	2025	["latin"]
1530117017	Junior H	Días Nublados	Latin	2020	["latin"]
1657362180	Edgardo Nuñez & Junior H	Ciudad Peligrosa	Latin	2022	["latin"]
6763670998	Carín León	Desde Que Te Tengo	Música Mexicana	2026	["latin"]
1658411881	Carín León & Grupo Frontera	Que Vuelvas	Música Mexicana	2022	["latin"]
1560071944	KAROL G, Ludacris & Emilee	BEAUTIFUL BOY	Urbano latino	2021	["latin","hiphop"]
1738491388	Carín León	Primera Cita	Música Mexicana	2022	["latin"]
1888520457	Carín León	Me la Avente	Latin	2019	["latin"]
1888520458	Carín León	Quisiera Saber	Latin	2019	["latin"]
1888540087	Carín León	Si Tu Amor No Vuelve (En Vivo)	Latin	2020	["latin"]
1888551270	Carín León	No Es Por Acá	Latin	2022	["latin"]
1888509726	Carín León	Te Ví Con El	Música Mexicana	2018	["latin"]
1888533999	Carín León	Tu (En Vivo)	Música Mexicana	2020	["latin"]
1888524264	Carín León	El Amor De Tu Vida (feat. Tony Melendez)	Latin	2020	["latin"]
1888509887	Carín León	La Farsante	Música Mexicana	2018	["latin"]
1888495221	Carín León	Como Duele Equivocarse (feat. Espinoza Paz)	Latin	2020	["latin"]
1888520450	Carín León	Tu Amor Barato	Latin	2019	["latin"]
1697024902	Kany García & Carín León	Te Lo Agradezco	Música Mexicana	2023	["latin"]
1888574529	Carín León	La Boda del Huitlacoche (feat. Honorables) [En Vivo]	Latin	2020	["latin"]
1715715980	Grupo Firme & Carín León	El Tóxico	Música Mexicana	2020	["latin"]
1440902525	Christian Nodal	Adiós Amor	Música Mexicana	2017	["latin"]
1623851746	Christian Nodal	Ya No Somos Ni Seremos	Música Mexicana	2022	["latin"]
1459577460	Christian Nodal	No Te Contaron Mal	Música Mexicana	2018	["latin"]
1892164629	Gera MX & Christian Nodal	Botella Tras Botella	Latin	2023	["latin"]
1459577673	Christian Nodal	De los Besos Que Te Di	Música Mexicana	2019	["latin"]
1440902743	Christian Nodal	Probablemente	Música Mexicana	2017	["latin"]
1688526282	Christian Nodal & TINI	Por el Resto de Tu Vida	Música Mexicana	2023	["latin"]
1840981879	Grupo Frontera & Christian Nodal	YA PEDO QUIÉN SABE	Música Mexicana	2024	["latin"]
1725906539	Christian Nodal & Peso Pluma	La Intención	Música Mexicana	2024	["latin"]
1538877502	Christian Nodal & Ángela Aguilar	Dime Cómo Quieres	Música Mexicana	2020	["latin"]
1506825015	Camilo & Christian Nodal	La Mitad	Pop Latino	2020	["pop","latin"]
1440902756	Christian Nodal	Te Fallé	Música Mexicana	2017	["latin"]
1688526284	Christian Nodal	Un Cumbión Dolido	Música Mexicana	2023	["latin"]
1800076202	Christian Nodal	El Amigo	Música Mexicana	2025	["latin"]
1521571479	Christian Nodal	Aquí Abajo	Música Mexicana	2020	["latin"]
1459577672	Christian Nodal	Perdóname	Música Mexicana	2019	["latin"]
1311953215	Camila Cabello & Daddy Yankee	Havana (Remix)	Latin	2017	["latin"]
1683184712	Banda MS de Sergio Lizárraga & Ice Cube	¿Cuáles Fronteras?	Música Mexicana	2023	["latin"]
1815608896	Myke Towers & Quevedo	SOLEAO	Latin	2025	["latin"]
1851536996	Neton Vega & Myke Towers	/90 60 90	Latin	2025	["latin"]
1540386768	Myke Towers & Juhn	Bandido	Latin	2020	["latin"]
1577424373	Myke Towers	ALMAS GEMELAS	Latin	2021	["latin"]
1531561840	Los Legendarios, Wisin & Myke Towers	Mi Niña	Latin	2020	["latin"]
1527439505	Ozuna, KAROL G & Myke Towers	Caramelo (Remix)	Latin	2020	["latin"]
1603931587	Jay Wheeler, DJ Nelson & Myke Towers	La Curiosidad	Latin	2020	["latin"]
1503782489	Lunay, Myke Towers & Ozuna	La Cama (feat. Chencho Corleone & Rauw Alejandro) [Remix]	Urbano latino	2020	["latin","hiphop"]
1483618590	Becky G & Myke Towers	DOLLAR	Latin	2019	["latin"]
1561274161	Sebastián Yatra & Myke Towers	Pareja Del Año	Urbano latino	2021	["latin","hiphop"]
1799764992	Kapo & Myke Towers	ILY	Pop Latino	2025	["pop","latin"]
1539951545	Nicky Jam & Myke Towers	Polvo	Urbano latino	2020	["latin","hiphop"]
1858330845	Lil Naay & Myke Towers	PENDING	Urbano latino	2025	["latin","hiphop"]
1474004266	Myke Towers, Rauw Alejandro & Noriel	Cuerpo en Venta (feat. Almighty)	Latin	2019	["latin"]
1484376873	Lunay & Myke Towers	La Cama	Urbano latino	2019	["latin","hiphop"]
1551369606	Rochy RD, Myke Towers & NICKI NICOLE	Ella No Es Tuya (Remix)	Urbano latino	2021	["latin","hiphop"]
1478686104	Myke Towers	Piensan	Urbano latino	2019	["latin","hiphop"]
1749150946	Oken, Myke Towers & Mora	Noche Loca	Urbano latino	2018	["latin","hiphop"]
1362386222	KAROL G & Shaggy	Tu Pum Pum (feat. El Capitaan & Sekuence)	Música tropical	2018	["latin"]
1541731262	Kali Uchis	telepatía	Latin	2020	["latin"]
1710860382	Kali Uchis & Peso Pluma	Igual Que Un Ángel	Latin	2024	["latin"]
1862045490	Kali Uchis	Muévelo	Urbano latino	2025	["latin","hiphop"]
1710860484	Kali Uchis & KAROL G	Labios Mordidos	Latin	2024	["latin"]
itunes-1690670600	El Alfa & Lil Pump	Goyard	Urbano latino	2022	["latin","hiphop"]
itunes-1711600577	6ix9ine, ANGEL DIOR & Lenier	WAPAE (feat. Bulin 47)	Urbano latino	2023	["latin","hiphop"]
itunes-1711600583	6ix9ine & Yailin la Mas Viral	Pa Ti	Urbano latino	2018	["latin","hiphop"]
itunes-1711600592	6ix9ine & Grupo Firme	Y Ahora	Urbano latino	2018	["latin","hiphop"]
itunes-1711567808	6ix9ine & Lenier	Bori	Pop Latino	2023	["pop","latin"]
itunes-1838580129	Bebeshito, 6ix9ine & Lenier	Habla Toro	Urbano latino	2025	["latin","hiphop"]
itunes-1774544319	6ix9ine, Bebeshito, Lenier, Ernesto Losa & Mauro El Código Secreto	Papita Frita	Urbano latino	2024	["latin","hiphop"]
itunes-1817217063	Shakira	Hips Don't Lie (feat. Wyclef Jean)	Pop Latino	2006	["pop","latin"]
itunes-1731059954	Shakira & Grupo Frontera	(Entre Paréntesis)	Pop Latino	2024	["pop","latin"]
itunes-192683153	Shakira	Tú	Pop Latino	1998	["pop","latin"]
itunes-188261029	Shakira	Whenever, Wherever	Pop Latino	2001	["pop","latin"]
itunes-1817217220	Shakira	La Tortura (feat. Alejandro Sanz)	Pop Latino	2005	["pop","latin"]
itunes-888878378	Shakira	Loca (feat. El Cata)	Pop Latino	2010	["pop","latin"]
itunes-188261849	Shakira	Suerte (Whenever, Wherever)	Latin	2001	["latin"]
itunes-825811737	Shakira	Can't Remember to Forget You (feat. Rihanna) [Album]	Pop Latino	2014	["pop","latin"]
